strain,growth_rate_ratio,mtdna_ratio,simulation_index,time,mean_h,nspl,ndau,ngen,startbud
WT and WT,1.0,0.5,1,17.80435572,0.3277862548828125,5,11,14,32
WT and WT,1.0,0.5,1,19.28805203,0.32781448364257815,5,11,14,32
WT and WT,1.0,0.5,1,20.771748340000002,0.32782859802246095,5,11,14,32
WT and WT,1.0,0.4,0,0.0,0.28125,5,11,14,32
WT and WT,1.0,0.4,0,1.48369631,0.290625,5,11,14,32
WT and WT,1.0,0.4,0,2.96739262,0.2765625,5,11,14,32
WT and WT,1.0,0.4,0,4.45108893,0.278125,5,11,14,32
WT and WT,1.0,0.4,0,5.93478524,0.2875,5,11,14,32
WT and WT,1.0,0.4,0,7.41848155,0.28515625,5,11,14,32
WT and WT,1.0,0.4,0,8.90217786,0.28818359375,5,11,14,32
WT and WT,1.0,0.4,0,10.385874170000001,0.288720703125,5,11,14,32
WT and WT,1.0,0.4,0,11.86957048,0.2876953125,5,11,14,32
WT and WT,1.0,0.4,0,13.35326679,0.28834228515625,5,11,14,32
WT and WT,1.0,0.4,0,14.8369631,0.287371826171875,5,11,14,32
WT and WT,1.0,0.4,0,16.32065941,0.2874359130859375,5,11,14,32
WT and WT,1.0,0.4,0,17.80435572,0.28720245361328123,5,11,14,32
WT and WT,1.0,0.4,0,19.28805203,0.2869255065917969,5,11,14,32
WT and WT,1.0,0.4,0,20.771748340000002,0.2868457794189453,5,11,14,32
WT and WT,1.0,0.4,1,0.0,0.28125,5,11,14,32
WT and WT,1.0,0.4,1,1.48369631,0.2875,5,11,14,32
WT and WT,1.0,0.4,1,2.96739262,0.2734375,5,11,14,32
WT and WT,1.0,0.4,1,4.45108893,0.259375,5,11,14,32
WT and WT,1.0,0.4,1,5.93478524,0.262890625,5,11,14,32
WT and WT,1.0,0.4,1,7.41848155,0.2615234375,5,11,14,32
WT and WT,1.0,0.4,1,8.90217786,0.26630859375,5,11,14,32
WT and WT,1.0,0.4,1,10.385874170000001,0.269580078125,5,11,14,32
WT and WT,1.0,0.4,1,11.86957048,0.2712890625,5,11,14,32
